layer,rank,output_error,cos_sim,compression_ratio,bits_per_weight
model.layers.25.self_attn.v_proj,16,0.232017,0.9637,2.6543,6.0279
model.layers.25.self_attn.o_proj,8,0.080563,0.9964,3.4082,4.6945
model.layers.25.mlp.gate_proj,32,0.110274,0.9936,2.9238,5.4722
model.layers.25.mlp.up_proj,32,0.124566,0.9922,2.9238,5.4722
model.layers.25.mlp.down_proj,64,0.149625,0.989,2.39,6.6945
model.layers.26.self_attn.q_proj,16,0.109696,0.9942,3.1135,5.1389
model.layers.26.self_attn.k_proj,16,0.096441,0.995,2.6543,6.0279
model.layers.26.self_attn.v_proj,16,0.230071,0.9607,2.6543,6.0279
model.layers.26.self_attn.o_proj,16,0.064582,0.9982,3.1135,5.1389
model.layers.26.mlp.gate_proj,32,0.110436,0.9935,2.9238,5.4722
model.layers.26.mlp.up_proj,32,0.123467,0.9922,2.9238,5.4722
model.layers.26.mlp.down_proj,32,0.159541,0.9875,2.9238,5.4722
model.layers.27.self_attn.q_proj,8,0.137179,0.9905,3.4082,4.6945
model.layers.27.self_attn.k_proj,8,0.104832,0.9945,3.1134,5.139
model.layers.27.self_attn.v_proj,8,0.248583,0.9651,3.1134,5.139
model.layers.27.self_attn.o_proj,32,0.09815,0.9954,2.6544,6.0278
model.layers.27.mlp.gate_proj,32,0.106966,0.9939,2.9238,5.4722
model.layers.27.mlp.up_proj,32,0.120138,0.9925,2.9238,5.4722
model.layers.27.mlp.down_proj,32,0.149028,0.9887,2.9238,5.4722
model.layers.28.self_attn.q_proj,8,0.122865,0.9924,3.4082,4.6945
model.layers.28.self_attn.k_proj,8,0.117438,0.9927,3.1134,5.139
model.layers.28.self_attn.v_proj,8,0.260189,0.9558,3.1134,5.139
model.layers.28.self_attn.o_proj,16,0.115157,0.9931,3.1135,5.1389
model.layers.28.mlp.gate_proj,16,0.098837,0.9951,3.2914,4.8611
model.layers.28.mlp.up_proj,16,0.12464,0.9918,3.2914,4.8611
model.layers.28.mlp.down_proj,4,0.011191,0.9875,3.6341,4.4028
model.layers.29.self_attn.q_proj,16,0.114468,0.9935,3.1135,5.1389
model.layers.29.self_attn.k_proj,16,0.103216,0.9948,2.6543,6.0279
model.layers.29.self_attn.v_proj,16,0.262794,0.9609,2.6543,6.0279
model.layers.29.self_attn.o_proj,16,0.127138,0.9912,3.1135,5.1389
model.layers.29.mlp.gate_proj,4,0.122676,0.9916,3.6341,4.4028
model.layers.29.mlp.up_proj,4,0.163123,0.9834,3.6341,4.4028
model.layers.29.mlp.down_proj,4,0.124807,0.9891,3.6341,4.4028
