source,tag,model,n_params_approx,baseline_ppl,compressed_ppl,ratio,gptq_ref,margin_vs_gptq,beats_gptq,angular,bit_budget_bpw,block_cov,cone_aware,dampening,device_map,group_dim,group_size,hadamard,hessian_batches,ip_metric,lloyd_max,max_memory_headroom_gib,max_memory_per_gpu,niter,qjl,qjl_n_projections,rank,residual_bits,strict_sequential,tangent,use_compensation,whitening
results_v6\scale_test\qwen2.5-3b\strict_damp006_rep1_seed43.json,"qwen2.5-3b_{'strict_sequential': True, 'dampening': 0.06}_43",qwen2.5-3b,,8.9756,9.7031,1.08105,1.0855,0.004445,1,0,4.2875,0,0,0.06,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen2.5-3b\strict_damp006_rep2_seed44.json,"qwen2.5-3b_{'strict_sequential': True, 'dampening': 0.06}_44",qwen2.5-3b,,8.9756,9.6987,1.08056,1.0855,0.004937,1,0,4.2875,0,0,0.06,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen3-4b\block_damp005_rep0_seed42.json,"qwen3-4b_{'strict_sequential': False, 'dampening': 0.05}_42",qwen3-4b,,15.8522,17.2535,1.0884,1.09164,0.00324,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen3-4b\block_damp005_rep1_seed43.json,"qwen3-4b_{'strict_sequential': False, 'dampening': 0.05}_43",qwen3-4b,,15.8522,17.5099,1.10457,1.09164,-0.012932,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen3-4b\block_damp005_rep2_seed44.json,"qwen3-4b_{'strict_sequential': False, 'dampening': 0.05}_44",qwen3-4b,,15.8522,16.3018,1.02836,1.09164,0.063277,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen3-4b\block_damp01_rep0_seed42.json,"qwen3-4b_{'strict_sequential': False, 'dampening': 0.1}_42",qwen3-4b,,15.8522,16.745,1.05632,1.09164,0.035314,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen3-4b\block_damp01_rep1_seed43.json,"qwen3-4b_{'strict_sequential': False, 'dampening': 0.1}_43",qwen3-4b,,15.8522,16.9893,1.07173,1.09164,0.019908,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen3-4b\block_damp01_rep2_seed44.json,"qwen3-4b_{'strict_sequential': False, 'dampening': 0.1}_44",qwen3-4b,,15.8522,16.973,1.0707,1.09164,0.020935,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen3-4b\strict_damp004_rep0_seed42.json,"qwen3-4b_{'strict_sequential': True, 'dampening': 0.04}_42",qwen3-4b,,15.8522,16.6264,1.04884,1.09164,0.042799,1,0,4.2875,0,0,0.04,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen3-4b\strict_damp004_rep1_seed43.json,"qwen3-4b_{'strict_sequential': True, 'dampening': 0.04}_43",qwen3-4b,,15.8522,17.7123,1.11734,1.09164,-0.025705,0,0,4.2875,0,0,0.04,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
